slang,formal
yaudh,ya sudah
dl,dulu
ajaaa,saja
tuhhh,tuh
amploppp,amplop
mo,mau
sayangg'',sayang-sayang
nantii,nanti
aminnnnn,amin
gakuat,enggak kuat
yukkkk,yuk
nged,banget
nantik,nanti
ksitu,kesitu
bangeett,banget
liad,lihat
kluarga,keluarga
biasahhh,biasa
tutorialx,tutorialnya
dpke,dipakai
fhoto,foto
kerenn,keren
binggo,banget
rekomndd,rekomendasi
bli2n,beli-belikan
bwt,buat
wado,waduh
guaa,gua
yaakkk,ya
bangetttttyt,banget
bangettttt,banget
bangg,bang
kangeeeeeeeeennnnnnnn,kangen
kaliannnnnn,kalian
rinduuuuuuuuuu,rindu
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kaliannnnnm,kalian
kangeeeeeeeeeeennnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
kangennn,kangen
kaliannnnnnn,kalian
kangeeerrn,kangen
pulak,pula
terrrrbaik,terbaik
jorookknya,joroknya
ihhhhh,ih
padahall,padahal
jorokkkk,jorok
mualll,mual
muke,muka
ajh,saja
taiiii,tahi
seneeeeeng,senang
nyesel,menyesal
besarin,membesarkan
tanyang,tayang
ber2,berdua
jngan,jangan
ngelarang,melarang
pantess,pantas
bngettt,banget
baperr,bawa perasaan
sudh,sudah
sbr,sabar
pngen,pengin
nntn,menonton
jg,juga
nyampe,sampai
kbawa,terbawa
bradegan,beradegan
sm,sama
baper,bawa perasaan
amiiinnnn,amin
liyat,lihat
krn,karena
sk,suka
adengan,adegan
engga,enggak
bingit,banget
sitayngin,ditayangkan
cocokkk,cocok
mahhhh,mah
iniw,ini
q,ku
setju,setuju
bnern,benaran
pcrn,pacaran
klian,kalian
cocokkkk,cocok
bngett,banget
abes,habis
br,baru
mksdny,maksudnya
brpa,berapa
ihh,ih
kesampean,kesampaian
beginiiii,begini
ntr,entar
beliin,membelikan
kya,kaya
keq,kek
ngeliat,melihat
ngerasa,merasa
sygkuu,sayangku
ngeselin,mengesalkan
baju'a,bajunya
bg,bang
ubur2,ubur-ubur
niiihh,nih
imuuttt,imut
imuttzz,imut
nha,nya
konten2,konten-konten
rasain,rasai
daaaah,deh
asliiii,asli
cantiknnnnyaaaaaaa,cantiknya
ngelihatnya,melihatnya
bdn,badan
na,nya
ibu2,ibu-ibu
lau,kau
cantikk,cantik
sexxi,seksi
ituu,itu
ngocok,mengocok
nyoba,mencoba
gn,begini
yaahhh,ya
kencqng,kencang
kra,kira
diginikan,dibeginikan
gambarin,gambarkan
ngerii,ngeri
digambarin,digambarkan
klen,kalian
bangke,bangkai
tp,tapi
kog,kok
liatnya,lihatnya
bedanyaaa,bedanya
negri,negeri
mbk,mbak
pgin,pengin
maksutku,maksudku
kerennnnn,keren
manisnyaaaa,manisnya
thun,tahun
mbg,mbak
bangeet,banget
ngaco,mengaco
ngomen,mengomentari
gituh,begitu
tenggah,tengah
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
kocakkkkkkkkkkkkkk,kocak
ksukaanmuuu,kesukaanmu
bagiii,bagi
ayooo,ayo
nontonx,menontonnya
dpn,depan
pi,tapi
penasarannnn,penasaran
gilakkkkkk,gila
mauuu,mau
nontoonnn,menonton
cepet2,cepat-cepat
kepingin,pengin
nontonnnn,menonton
deeek,dek
ntappp,mantap
deg2an,deg-degan
cyiiin,cinta
iyha,iya
pake,pakai
ngantri,mengantri
bli,beli
nraktir,mentraktir
nonton,menonton
sbnyak,sebanyak
penasaraaann,penasaran
asikkk,asik
gilak,gila
mcm,macam
ceritax,ceritanya
yoooiii,yoi
daah,deh
kuy,yuk
udahh,sudah
tauuuuu,tau
ngga,enggak
sabarrrrr,sabar
kqmu,kamu
banggain,banggakan
sendeng,senang
simpen,simpan
gakk,enggak
nangis,menangis
kapn,kapan
barang2,barang-barang
kirimin,mengirimi
senengin,senangi
ngasih,mengasih
ampunnnn,ampun
bln,bulan
senengg,senang
teruzzz,terus
mantabb,mantap
sumpahh,sumpah
anjirrrr,anjir
jendess,janda
dh,deh
sichh,sih
namnya,namanya
geh,gih
nggak,enggak
22nya,dua-duanya
aduuhhh,aduh
miripp,mirip
silauuu,silau
waww,wow
uga,juga
njiirr,anjir
bgs,bagus
kesinii,kesini
gemay,gemas
dstu,disitu
wiiiihhhh,wih
samoga,semoga
kereennn,keren
mudah2,mudah-mudah
jugaakk,juga
prnh,pernah
diapa2in,diapa-apai
yaak,ya
lhoo,loh
mnta,minta
donx,dong
gthu,begitu
nda,tidak
maauuu,mau
pacarrr,pacar
idamann,idaman
naturalllll,natural
bnyak,banyak
berntung,beruntung
merka,mereka
jln2,jalan-jalan
romntis,romantis
slamat,selamat
ulan,ulang
mngkin,mungkin
klau,kalau
diksi,dikasih
sipp,sip
taun,tahun
keciill,kecil
ughaa,juga
thn,tahun
banged,banget
abeees,habis
kapan2,kapan-kapan
adain,mengadakan
bsa,bisa
bosen2,bosan-bosan
sempurnaaaaa,sempurna
beneraan,benaran
cantiiik,cantik
kuatttt,kuat
cantiiiiiiik,cantik
cantiknyaaa,cantiknya
bae2,baik-baik
bgd,banget
mb,mbak
catiiiiik,cantik
subahanallah,subhanallah
jaman2nya,jaman-jamannya
dapetin,mendapati
padet,padat
buktiin,buktikan
keeeerrrreeeennnnnnnnn,keren
woow,wow
skrang,sekarang
lohh,loh
hadirrr,hadir
hadirr,hadir
jelashh,jelas
mbaaa,mbak
temen,teman
hidupppp,hidup
para2,parah-parah
bangeeet,banget
allahhhhhhh,allah
gemesnya,gemasnya
ilang2,hilang-hilang
kmi,kami
diputusin,diputuskan
artis2,artis-artis
ninggiin,meninggikan
baget,banget
kl,kalau
ngk,enggak
ahh,ah
pas2an,pas-pasan
gausah,enggak usah
sukaaa,suka
lutuna,lucunya
ciapa,siapa
gemesss,gemas
duhh,duh
terharuuu,terharu
ngegemesin,menggemaskan
imoet,imut
jagain,jaga
yahbh,ya
msih,masih
sktika,seketika
lutu,lucu
wowwww,wow
massss,mas
kesiniii,kesini
masyaallahhh,masyaallah
kerennn,keren
ksni,kesini
begok,bego
bkan,bukan
it,itu
nti,nanti
pgi,pagi
keeeeeren,keren
baguusss,bagus
mna,mana
nahannnn,tahan
bagaatt,banget
gayannxa,gayanya
kereeeen,keren
xlian,kalian
b3,bertiga
ihhh,ih
nyebelin,menyebalkan
lcu,lucu
pait,pahit
koplakkk,koplak
kerass,keras
yachhh,ya
gokil,gila
iiihhhhh,ih
nyolotinnnn,menyolot
beratttttttt,berat
cantiikkkk,cantik
hijaabbb,hijab
sekalii,sekali
smnagatin,menyemangati
pakek,pakai
kanapa,kenapa
cans,cantik
banhet,banget
bgttttttt,banget
blng,bilang
mngasi,mengasih
kmbang,kembang
pg,pagi
nie,ini
nda,indak
pla,pula
kw,kau
blakon,berlakon
sy,saya
nmpk,nampak
lucukkkkk,lucu
sbelah,sebelah
baek,baik
ciusss,serius
palinf,paling
fav,favorit
maak,mak
ngakaaaakkk,mengakak
gokill,gila
kocakkkkkk,kocak
bng,bang
nyatakan,menyatakan
graaatiiiis,gratis
meriahh,meriah
cantikkkm,cantik
parahh,parah
bingits,banget
yuppss,ya
nyindir,menyindir
onoh,sono
bnyk,banyak
anakny,anaknya
staf2nya,staf-stafnya
ajaa,saja
begete,banget
manteppp,mantap
kata2nya,kata-katanya
ynk,sayang
jgn2,jangan-jangan
sbaiknya,sebaiknya
mngerti,mengerti
blajar,belajar
fakta2,fakta-fakta
spt,seperti
ckup,cukup
mnding,mending
lgsg,langsung
nilai2,nilai-nilai
buka2,buka-buka
nyinyirin,nyinyir
pdhl,padahal
pd,pada
nyerang,menyerang
hrs,harus
mrk,mereka
trima,terima
ksh,kasih
ngomomg,mengomong
mang,memang
kbetulan,kebetulan
orgtuanya,orang tuanya
sbelum,sebelum
ngamatin,mengamati
ngintip,mengintip
stelah,setelah
sndiri,sendiri
ngintilin,mengintil
smnjak,semenjak
trbukti,terbukti
nyambet,menyambat
msk,masuk
krmh,ke rumah
rmh,rumah
anak2nya,anak-anaknya
tdnya,tadinya
ank2nya,anak-anaknya
milih,memilih
branjak,beranjak
ank2,anak-anak
masyarakay,masyarakat
mudah2an,mudah-mudahan
utk,untuk
menegerti,mengerti
hdpnya,hidupnya
apa2,apa-apa
sok2,sok-sok
nasehatin,menasihati
ngaca,mengaca
ajah,saja
kakkkk,kak
slamet,selamat
ampe,sampai
nari,menari
ehh,eh
mf,maaf
bru,baru
ngcpin,mengucapkan
woowwww,wow
iaa,ya
wihh,wih
tetapppp,tetap
gantenggg,ganteng
jakety,jaketnya
nggk,enggak
skli,sekali
kli,kali
ttp,tetap
pala,kepala
pusingggg,pusing
pucing,pusing
ihhhh,ih
maho,manusia homo
gpp,enggak apa-apa
gantng,ganteng
alak,kepala
akn,akan
hilangv,hilang
bungggg,bung
kyak,kayak
pling,paling
byk,banyak
gokiiill,gila
busedh,buset
gokilnya,gilanya
duluuu,dulu
keceee,kece
nyaa,nya
klu,kalau
gilaa,gila
duuhhh,duh
tetep,tetap
amiiiiinnnnn,amin
durhaka2,durhaka-durhaka
q,aku
ajja,saja
dech,deh
oprasi,operasi
gya,gaya
tuuu,itu
ngurusan,mengurusi
campurin,mencampuri
emnknya,memangnya
unyuu,unyu
kndung,kandung
mrangkul,merangkul
adlh,adalah
g,enggak
wlo,walau
sperti,seperti
lh,lah
manusiy,manusia
tx,tak
samara,sakinah mawadah rahman
klw,kalau
teringt,teringat
trmsuk,termasuk
ank,anak
dn,dan
pilihnmu,pilihanmu
swmntara,sementara
trmasuk,termasuk
dlm,dalam
orang2,orang-orang
sgt,sangat
jadulnya,jaman dulunya
mantaff,mantap
ngata2in,mengata-ngatai
mulusssss,mulus
bgus,bagus
gmana,bagaimana
kpleset,kepleset
yawlah,ya allah
kepeleset,kepleset
kayanye,kayanya
amiinnnn,amin
komen2an,komen-komenan
wewww,wow
dumsss,dong
tar,entar
keq,kayak
perbaikin,memperbaiki
permasalhkan,permasalahkan
jauhin,jauhi
dateng,datang
dkuburnya,dikuburnya
elo,lo
bener,benar
donks,dong
ngajak,mengajak
ngebolehin,membolehkan
smog,semoga
mnerima,menerima
baikxa,baiknya
aaamin,amin
amienn,amien
sekangen2,sekangen-kangen
jln,jalan
amiiiiiiiiiinnnnnnn,amin
nolongin,menolong
amiiiiiiiiiiin,amin
seluru,seluruh
amiennn,amien
klow,kalau
tebir,ribet
wong2,wong-wong
rempong,repot
ngurusin,mengurusi
kerjaan,pekerjaan
bingittzz,banget
bangets,banget
ikh,ih
dwh,deh
komenannya,komentarnya
ush,usah
cock,cocok
mksh,terima kasih
pnjang,panjang
shat,sehat
inginkn,inginkan
belanjaa,belanja
burem,buram
gmn,bagaimana
kancang,kencang
tmbh,tambah
mansyoallah,masyaallah
skali,sekali
canttttikkk,cantik
subhanalloh,subhanallah
stiap,setiap
lkuin,lakukan
ttep,tetap
langgenh,langgeng
pkai,pakai
org2,orang-orang
mkn,makin
seneng,senang
pdng,padang
warbiyasah,luar biasa
pk,pakai
keedaannya,keadaannya
lagu2,lagu-lagu
saya2,saya-saya
tunggu2,tunggu-tunggu
sekrng,sekarang
lagu2nya,lagu-lagunya
ttap,tetap
emng,memang
perubut,perebut
sumai,suami
hdp,hidup
tk,tak
tdk,tidak
sprti,seperti
urusin,mengurusi
apah,apa
bagus2,bagus-bagus
say,sayang
sekarng,sekarang
sbg,sebagai
mmbela,membela
mslhnya,masalahnya
hnya,hanya
sndri,sendiri
sj,saja
llki,lelaki
dluar,diluar
sna,sana
maluuuu,malu
beda2,beda-beda
x,kali
masing2,masing-masing
ape,apa
nyet,monyet
muna,munafik
jing,anjing
tot,entot
nihh,nih
ttg,tentang
dpt,dapat
hidiyah,hidayah
dng,dengan
termurahhh,termurah
anak2,anak-anak
ngasih2,mengasih-ngasih
berfikir,berpikir
ni,nih
amit2,amit-amit
mba,mbak
kasian,kasihan
elu,lu
ngajuin,mengajukan
tiba2,tiba-tiba
jkt,jakarta
laki2,laki-laki
terbaeq,terbaik
namany,namanya
jels,jelas
diakibtkn,diakibatkan
ad,ada
suk,suka
jelek2,jelek-jelek
dsrny,dasarnya
jkrta,jakarta
main2,main-main
lanjutkaaaaan,lanjutkan
hiduppp,hidup
ncek,encek
hokiii,hoki
naksir,menaksir
tw,tau
nafkahin,menafkahi
ngitem,menghitam
gx,enggak
lhat,lihat
ja,saja
cantika,cantik
cwek,cewek
kngen,kangen
fillm,film
emg,memang
lbh,lebih
sinet,sinetron
jendral,jenderal
nanya,tanya
maenya,mainnya
cantiks,cantik
wktu,waktu
pilm,film
cini,sini
jaaangan,jangan
uda,sudah
nambah,bertambah
naek,naik
terimaksih,terima kasih
inii,ini
kaannnn,kan
tidakkkk,tidak
kemuh,kamu
da,sudah
tgl,tanggal
pinginnn,pengin
buanget,banget
ketemuuu,ketemu
kebawa,terbawa
mimpiii,mimpi
wanjerrr,anjir
satupunn,satupun
motret,memotret
temen2,teman-teman
lapakk,lapak
nyeniii,menyeni
bget,banget
seeh,sih
abis,habis
lebayy,lebay
gilsss,gila
nganbek,mengambek
sukaa,suka
enk,enak
mendam,memendam
la,lah
maen,main
manta,mantan
relaaaa,rela
bgun,bangun
tdur,tidur
cntk,cantik
kt,kita
anugrah,anugerah
slm,salam
knl,kenal
kliatan,kelihatan
awoohhh,allah
cantiikk,cantik
gt,begitu
sbbyak,sebanyak
apun,apapun
indo,indonesia
nyangkutnya,menyangkutnya
untk,untuk
sihh,sih
ampunnnnn,ampun
hy,hai
wadaaw,waduh
paraah,parah
sampw,sampai
dijelekin,dijelekkan
napa,kenapa
azeeeek,asik
kalii,kali
ntikk,cantik
uhh,uh
mnisss,manis
tambahim,tambahkan
tambahin,tambahkan
make,memakai
dg,dengan
canttikkk,cantik
baanggeettt,banget
ap,apa
siiihh,sih
krpoooo,kepo
pengn,pengin
nyusul,menyusul
nyok,yuk
dekkk,dek
da,ada
ygs,sayang
dahh,deh
mblooo,jomblo
ber'expresi,berekspresi
bgtu,begitu
jdulnya,judulnya
ciumman,ciuman
aurot,aurat
laginy,laginya
nyaaaaaaaaaaaaa,nya
ktnya,katanya
anjirrr,anjir
ngeh,engah
amen,amin
ngmngnya,mengomongnya
fotony,fotonya
ciyeeee,cie
yeeee,ya
nget,banget
kususnya,khususnya
krm,kirim
sam,sama
ajaaahhhhh,saja
syediiihhh,sedih
yaakk,ya
kebukti,terbukti
anak2e,anak-anaknya
tuwanya,tuanya
plg,pulang
smbil,sambil
hellooooooo,halo
ngrebut,merebut
taek,tahi
lupain,melupakan
bangkret,bangkrut
ngmng,mengomong
taekk,tahi
lahhhhhh,lah
kedokk,kedok
nyimak,menyimak
komenx,komennya
serem2,seram-seram
sekrang,sekarang
ngerebut,merebut
mnjijikaaaaaan,menjijikkan
astgfrlh,astagfirullah
sahabatt,sahabat
gnyngka,enggak menyangka
ngomentnya,mengomentarinya
bilangg,bilang
dri,dari
gkhianati,mengkhianati
kpd,kepada
hdup,hidup
skr,sekarang
hr,hari
sp,siapa
pljaran,pelajaran
spy,supaya
mngikuti,mengikuti
klkuan,kelakuan
kasiannn,kasihan
mgkin,mungkin
syekaliii,sekali
ngelihat,melihat
hgga,hingga
ngiri,mengiri
cieeeee,cie
sholihah,salihah
adeuh,aduh
halahh,alah
luu,lu
yuuks,yuk
yoo,ayo
ginian,beginian
judulnyaa,judulnya
ato,atau
ayoookkkkkk,ayo
cwo,cowok
artix,artinya
cewe,cewek
cowo,cowok
lt,lantai
serem,seram
kepoin,mengepoi
keluarin,mengeluarkan
gajelas,enggak jelas
mbak2,mbak-mbak
pedes,pedas
komentnya,komentarnya
omongin,mengomongkan
ngebela,membela
kurng,kurang
ortunya,orang tuanya
woey,woy
bloghhh,goblok
ngomongin,mengomongkan
doank,doang
dikata2in,dikata-katai
dah,deh
jngn,jangan
gimana,bagaimana
mnjawab,menjawab
woooiiiiiiii,woy
dosaaaaaaaaaa,dosa
ingt,ingat
karmaaa,karma
woooiiiii,woy
wihhh,wih
kakakkk,kakak
ngets,banget
stp,setiap
penbelian,pembelian
cuaantik,cantik
yak,ya
cucokkk,cocok
lyt,lihat
expresi,ekspresi
natap,menatap
ccok,cocok
helloo,halo
emang,memang
mh,mah
dripada,daripada
sama2,sama-sama
cakepp,cakep
ngiriii,mengiri
coxok,cocok
buatin,buatkan
nihhh,nih
statusx,statusnya
cem,macam
yee,ya
sunggu,sungguh
lagiii,lagi
denger,dengar
ammiiin,amin
haddeh,aduh
segerrrr,segar
kemn,kemana
suipit,sipit
sipiit,sipit
kedengeran,kedengaran
kebayang,terbayang
amiinn,amin
ammin,amin
mendapatkn,mendapatkan
lucuuuk,lucu
yaoloh,yaallah
ngerayain,merayakan
sotoy,sok tau
yok,yuk
buatin,membuat
d.bikinin,dibikin
mmz,mas
bikinin,bikin
diginiin,dibeginikan
krenn,keren
blg,bilang
kebykan,kebanyakan
tingal,tinggal
pernikahn,pernikahan
ngtain,mengatai
macem,macam
bagusnyeee,bagusnya
kemaren,kemarin
hmpir,hampir
dehh,deh
liatnyaaa,lihatnya
waw,wow
mbuh,embuh
bsk,besok
sya,saya
yaah,ya
waaa,wah
berbiiiiiihhh,barbie
canteek,cantik
goncengin,boncengkan
kasi,kasih
ngantar,mengantar
nganterin,mengantarkan
ati2,hati-hati
yeuh,ya
dianterin,diantar
kmn,kemana
anterin,antarkan
dianter,diantar
disupirin,disopiri
jangan2,jangan-jangan
ciee,cie
novembr,november
hri,hari
bedain,membedakan
genduut,gendut
ehhh,eh
bertatto,bertato
brrt,berarti
kana,kanan
dtg,datang
doong,dong
cew,cewek
sblah,sebelah
tauuu,tau
tengaj,tengah
ps,pas
gmpg,gampang
engk,enggak
dak,indak
rupa2nya,rupa-rupanya
kembaq,kembar
ketuker,tertukar
edaaaan,edan
syp,siapa
bcnda,bercanda
uhhh,uh
bazengg,bajingan
haiii,hai
komentar2,komentar-komentar
hati2,hati-hati
cma,cuma
krna,karena
sblmnya,sebelumnya
maksd,maksud
adkah,adakah
menbelah,membelah
karna,karena
ayuk,ayo
mngira,mengira
bertolernsi,bertoleransi
slahkan,salahkan
tolernsi,toleransi
sbnarnya,sebenarnya
ingi,ingin
oalaaaa,walah
aneh2,aneh-aneh
sedihh,sedih
kangennnn,kangen
gndakan,gandakan
kangeeeeeeeenya,kangen
kgeeeen,kangen
kangeenn,kangen
bangeeeet,banget
tnang,tenang
bsok,besok
hbis,habis
mti,mati
bngetttt,banget
kangeen,kangen
kngenn,kangen
kangeeeeennn,kangen
dgr,dengar
lagii,lagi
dasyat,dahsyat
aer,air
bgni,begini
skalii,sekali
alm,almarhum
gg,enggak
dtinggl,ditinggal
terbaiiikkkkk,terbaik
murahhh,murah
pecahhg,pecah
kakakgh,kakak
terbaeeeek,terbaik
prempuan,perempuan
manteep,mantap
indonesiaaa,indonesia
inia,ini
ntapsss,mantap
kamiiii,kami
sll,selalu
smangat,semangat
bc,baca
qmu,kamu
sdkit2,sedikit-sedikit
tntg,tentang
penyakitny,penyakitnya
ngajarin,mengajari
smakin,semakin
laenny,lainnya
amiinnn,amin
scpatny,secepatnya
sampein,sampaikan
tuany,tuanya
pjg,panjang
adeeek,adek
nangiss,menangis
sayaang,sayang
klg,keluarga
msg2,masing-masing
siiihhh,sih
mupeng,muka pengin
caya,percaya
aduhhhhhhhhh,aduh
buseett,buset
mblo,jomblo
males,malas
lucuuu,lucu
gagahx,gagahnya
miriiiip,mirip
kaliiii,kali
wahh,wah
niru,meniru
bpknya,bapaknya
bpkmu,bapakmu
aje,saja
sangt,sangat
baang,bang
gasih,enggak sih
yuu,yuk
aqu,aku
yuuu,yuk
yukk,yuk
gantengg,ganteng
samaa,sama
ngademin,mengademkan
aahh,ah
makasi,terima kasih
